,building_id,manager_id,display_address,street_address
0,2103,1203,10443,21630
1,5077,1518,7525,21801
2,5028,2836,11824,8941
3,1033,217,9118,13018
4,1,1998,13070,17671
5,1425,2338,13190,13968
6,1517,10,12962,6744
7,82,3004,32,3723
8,4301,2538,9845,20097
9,1,491,5131,18372
10,1,2961,13672,4449
11,1,631,12726,20320
12,2649,1103,8081,2493
13,1,751,13369,10803
14,1,1533,9156,11947
15,4929,2870,9056,13455
16,2542,47,1774,6955
17,1,2242,11462,22855
18,5252,1873,12959,2014
19,5677,1873,1776,10214
20,816,741,10346,1688
21,6078,3004,8009,6659
22,661,1873,32,12597
23,4242,1444,10252,151
24,138,173,12047,10780
25,1759,2271,9155,11655
26,5530,1050,8483,16591
27,6062,1319,13355,19731
28,0,253,584,1708
29,6185,1594,8448,16321
30,0,0,2699,9566
31,268,2484,12637,17590
32,3135,2067,7396,14967
33,1791,2064,12917,902
34,1494,1647,12009,20441
35,1,887,8851,11795
36,1,3278,13066,1062
37,3169,693,13357,19332
38,1450,2271,13252,22338
39,5356,1395,12201,14271
40,4894,1324,32,9375
41,5281,1970,8441,13916
42,1,1103,9306,8857
43,3127,2662,54,3826
44,1,2465,12996,11088
45,703,914,12954,21894
46,1393,2234,11824,1359
47,3139,1409,13239,15135
48,5299,2265,11178,4792
49,4271,53,4189,6687
50,3495,1850,7217,20415
51,3215,3004,6749,22747
52,0,616,8557,19596
53,1939,2933,12550,9242
54,2628,457,9110,10934
55,5500,3290,515,21938
56,5803,1277,7525,21563
57,5203,2425,9251,11951
58,2802,1259,5236,18826
59,1,2021,7488,11614
60,3711,317,2799,21269
61,2608,117,13488,388
62,532,3300,9150,13569
63,2916,2964,8930,16247
64,4787,750,8575,11841
65,4592,3004,7375,17200
66,1792,1319,9568,11472
67,2279,1298,13318,9563
68,4001,578,4202,2923
69,5707,1119,3074,18279
70,0,1314,1617,5164
71,6004,812,11747,6416
72,3969,3004,10776,21746
73,4882,2742,9317,7756
74,5598,3004,9722,14907
75,2365,651,12632,9601
76,5447,761,13380,5964
77,1,2337,9523,5707
78,112,3004,10440,22867
79,3703,2779,13671,4972
80,1,1710,11153,15122
81,1209,3273,8946,2916
82,4568,3004,8278,11719
83,4155,287,11991,17803
84,1,1987,6964,21005
85,1001,2757,9326,6066
86,1,1306,9150,8067
87,4809,720,8399,15343
88,4553,658,32,15628
89,5069,2236,8473,1014
90,5950,1273,9183,14007
91,5790,214,12505,17402
92,5948,956,6964,11210
93,349,3339,12076,16653
94,0,1515,6951,21703
95,3429,1002,5759,444
96,3608,2638,7558,20843
97,5592,444,9147,1772
98,2826,763,7375,16925
99,6118,1794,13355,15138
100,5868,1458,6437,22065
101,1,3160,10766,9233
102,550,1050,8370,12405
103,3254,1282,12903,5944
104,1,1828,9775,21860
105,1050,1180,8006,8147
106,1,2908,9343,11664
107,1,1203,10423,19473
108,5299,932,11178,4792
109,436,51,13541,94
110,6128,2288,9312,11953
111,3292,769,7387,8802
112,2673,2581,10793,11772
113,3620,1006,11065,4047
114,1,1205,12975,9196
115,0,922,2813,9971
116,0,233,11166,21478
117,2186,1386,10472,12737
118,3108,749,8532,8833
119,705,817,12858,16761
120,3651,487,7500,9778
121,2868,3004,13448,10037
122,1294,254,7805,18374
123,5759,1753,7939,7022
124,5244,648,32,18458
125,1432,1629,32,9167
126,6009,3065,9056,10928
